Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí	Ãæ¾ß
Kim ThÇn 	0	0	10	134	14	20	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	20000	0	0	20000	20000	20000	20000	0	0	0
V« h×nh	0	3	2	104	2	10	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	1000	0	0	1000	1000	1000	1000	0	0	0
HuyÔn nhí 	0	3	4	104	10	20	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	10000	0	0	10000	10000	10000	10000	0	0	0
ThÊp tho¸ng	0	3	6	104	20	30	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	300000	0	0	300000	300000	300000	300000	0	0	0
H­ ¶o	0	3	8	104	30	40	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	150000	0	0	150000	150000	150000	150000	0	0	0
Linh hån	0	3	10	104	40	50	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	1000	0	0	1000	1000	1000	1000	0	0	0
BÝch Lôc 	0	0	2	101	2	10	-1	-1	0	0	t¨ng kh¸ng ®éc	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Lôc Tïng Th¹ch	0	0	4	101	10	20	-1	-1	0	0	t¨ng kh¸ng ®éc	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
BÝch Ngäc 	0	0	6	101	20	30	-1	-1	0	0	t¨ng kh¸ng ®éc	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Lôc B¶o Th¹ch	0	0	8	101	30	40	-1	-1	0	0	t¨ng kh¸ng ®éc	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
PhØ thóy 	0	0	10	101	40	50	-1	-1	0	0	t¨ng kh¸ng ®éc	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Cá xanh	0	4	2	105	2	10	-1	-1	0	0	T¨ng kh¸ng b¨ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Hµn Mai	0	4	4	105	10	20	-1	-1	0	0	T¨ng kh¸ng b¨ng	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
C« Tïng	0	4	6	105	20	30	-1	-1	0	0	T¨ng kh¸ng b¨ng	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Ng¹o Tróc	0	4	8	105	30	40	-1	-1	0	0	T¨ng kh¸ng b¨ng	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
Lam B¶o Th¹ch	0	4	10	105	40	50	-1	-1	0	0	T¨ng kh¸ng b¨ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Th©m hËu	0	2	2	102	2	10	-1	-1	0	0	t¨ng kh¸ng Háa	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Vò Hoa Th¹ch	0	2	4	102	10	20	-1	-1	0	0	t¨ng kh¸ng Háa	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
B·o löa	0	2	6	102	20	30	-1	-1	0	0	t¨ng kh¸ng Háa	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
B«ng v¶i ®á 	0	2	8	102	30	40	-1	-1	0	0	t¨ng kh¸ng Háa	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
Hång B¶o Th¹ch	0	2	10	102	40	50	-1	-1	0	0	t¨ng kh¸ng Háa	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Hæ Ph¸ch 	0	1	1	103	2	10	-1	-1	0	0	T¨ng kh¸ng L«i	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Ngäc ®á	0	1	4	103	10	20	-1	-1	0	0	T¨ng kh¸ng L«i	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Hoµng B¶oTh¹ch	0	1	7	103	20	30	-1	-1	0	0	T¨ng kh¸ng L«i	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Hoµng Ngäc 	0	1	8	103	30	40	-1	-1	0	0	T¨ng kh¸ng L«i	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
Lam Thñy Tinh	0	1	10	103	40	60	-1	-1	0	0	T¨ng kh¸ng L«i	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
B¨ngTinh 	0	2	3	134	4	12	-1	-1	0	0	"HÊp thô b¨ng s¸t (chuyÓn hãa, n©ng cao néi lùc ) "	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
B¨ng Ph¸ch	0	2	6	134	12	20	-1	-1	0	0	"HÊp thô b¨ng s¸t (chuyÓn hãa, n©ng cao néi lùc ) "	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
B¨ng ThÇn 	0	2	10	134	20	30	-1	-1	0	0	"HÊp thô b¨ng s¸t (chuyÓn hãa, n©ng cao néi lùc ) "	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
ThÓ chÊt	0	2	1	99	2	4	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Gian x¶o	0	2	2	99	6	8	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Tµn nhÉn	0	2	3	99	10	12	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Tham lam	0	2	4	99	14	16	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Hung b¹o	0	2	5	99	18	20	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Yªu quý 	0	2	6	99	22	24	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
M·nh hæ 	0	2	7	99	26	28	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
C¸ voi	0	2	8	99	30	32	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Linh hiÓn	0	2	9	99	34	36	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
N÷ Oa 	0	2	10	99	38	40	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
TØnh t¸o	0	2	4	110	40	40	-1	-1	0	0	Chèng cho¸ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
TØnh t¸o	0	2	7	110	60	60	-1	-1	0	0	Chèng cho¸ng	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
TØnh t¸o	0	2	10	110	80	80	-1	-1	0	0	Chèng cho¸ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Méc Tinh 	0	1	3	134	4	12	-1	-1	0	0	HÊp thô ®éc	0	0	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Méc Ph¸ch	0	1	6	134	12	20	-1	-1	0	0	HÊp thô ®éc	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Méc ThÇn 	0	1	10	134	20	30	-1	-1	0	0	HÊp thô ®éc	0	0	1000	1000	1000	1000	1000	1000	1000	1000	0	0
VËn khÝ 	0	1	1	135	2	2	-1	-1	0	0	T¨ng May m¾n	0	0	0	30000	30000	0	0	0	0	30000	0	0
Sè may	0	1	2	135	4	4	-1	-1	0	0	T¨ng May m¾n	0	0	0	25000	25000	0	0	0	0	25000	0	0
NgÉu nhiªn	0	1	3	135	6	6	-1	-1	0	0	T¨ng May m¾n	0	0	0	20000	20000	0	0	0	0	20000	0	0
C¬ héi	0	1	4	135	8	8	-1	-1	0	0	T¨ng May m¾n	0	0	0	10000	10000	0	0	0	0	10000	0	0
VËn mÖnh	0	1	5	135	10	10	-1	-1	0	0	T¨ng May m¾n	0	0	0	5000	5000	0	0	0	0	5000	0	0
GÆp may	0	1	6	135	12	12	-1	-1	0	0	T¨ng May m¾n	0	0	0	2000	2000	0	0	0	0	2000	0	0
KhÐo lÐo	0	1	7	135	14	14	-1	-1	0	0	T¨ng May m¾n	0	0	0	1000	1000	0	0	0	0	1000	0	0
H¹nh phóc	0	1	8	135	16	16	-1	-1	0	0	T¨ng May m¾n	0	0	0	500	500	0	0	0	0	500	0	0
Ng¹o m¹n	0	1	9	135	18	18	-1	-1	0	0	T¨ng May m¾n	0	0	0	100	100	0	0	0	0	100	0	0
Vua ThuÊn	0	1	10	135	20	20	-1	-1	0	0	T¨ng May m¾n	0	0	0	10	10	0	0	0	0	10	0	0
Háa Tinh 	0	3	3	134	4	12	-1	-1	0	0	HÊp thu löa	0	0	1000	0	0	1000	1000	1000	1000	0	0	0
Háa Ph¸ch	0	3	6	134	12	20	-1	-1	0	0	HÊp thu löa	0	0	200000	0	0	200000	200000	200000	200000	0	0	0
Háa ThÇn 	0	3	10	134	20	30	-1	-1	0	0	HÊp thu löa	0	0	1000	0	0	1000	1000	1000	1000	0	0	0
Êm ¸p	0	3	3	106	40	40	-1	-1	0	0	Gi¶m thêi gian ®ãng b¨ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
NhiÖt t×nh	0	3	6	106	60	60	-1	-1	0	0	Gi¶m thêi gian ®ãng b¨ng	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Háa nhiÖt	0	3	10	106	80	80	-1	-1	0	0	kh«ng thÓ ®ãng b¨ng	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Linh ho¹t	0	3	1	98	2	4	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
KhÐo lÐo	0	3	2	98	6	8	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Nh¹y bÐn	0	3	3	98	10	12	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Thôc luyÖn	0	3	4	98	14	16	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
KhÐo lÐo	0	3	5	98	18	20	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
ChÝnh x¸c	0	3	6	98	22	24	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
ChÝnh x¸c	0	3	7	98	26	28	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Thanh Phong 	0	3	8	98	30	32	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Giã b·o	0	3	9	98	34	36	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	300000	300000	300000	300000	300000	300000	300000	300000	0	0
TËt §iÖn 	0	3	10	98	38	40	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	50000	50000	50000	50000	50000	50000	50000	50000	0	0
Thæ Tinh 	0	4	3	134	4	12	-1	-1	0	0	HÊp thu ®iÖn	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Thæ Ph¸ch	0	4	6	134	12	20	-1	-1	0	0	HÊp thu ®iÖn	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Thæ ThÇn 	0	4	10	134	20	30	-1	-1	0	0	HÊp thu ®iÖn	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Linh X¹ 	0	4	4	108	40	40	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Tª Gi¸c 	0	4	6	108	60	60	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Sß ®á	0	4	10	108	80	80	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Kim ý 	0	0	2	140	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0	0
Kim tÝnh	0	0	4	140	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0	0
Kim vËn	0	0	6	140	6	6	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0	0
Kim khÝ 	0	0	8	140	8	8	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0	0
Kim t©m	0	0	10	140	10	10	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0	0
Thñy ý 	0	2	2	142	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0	0
Thñy tÝnh	0	2	4	142	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0	0
Thñy vËn	0	2	6	142	6	6	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0	0
Thñy khÝ 	0	2	8	142	8	8	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0	0
Thñy t©m	0	2	10	142	10	10	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0	0
Méc ý 	0	1	2	141	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0	0
Méc tÝnh	0	1	4	141	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0	0
Méc vËn	0	1	6	141	6	6	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0	0
Méc khÝ 	0	1	8	141	8	8	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0	0
Méc t©m	0	1	10	141	10	10	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0	0
Háa ý 	0	3	2	143	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0	0
Háa tÝnh	0	3	4	143	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0	0
Háa vËn	0	3	6	143	6	6	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0	0
Háa khÝ 	0	3	8	143	8	8	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0	0
Háa t©m	0	3	10	143	10	10	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0	0
Thæ ý 	0	4	2	144	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0	0
Thæ tÝnh	0	4	4	144	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0	0
Thæ vËn	0	4	6	144	6	6	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0	0
Thæ khÝ 	0	4	8	144	8	8	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0	0
Thæ t©m	0	4	10	144	10	10	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	1	168	2	40	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	2	168	40	80	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	3	168	80	120	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	4	168	120	160	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	5	168	160	200	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	6	168	200	240	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	20000	20000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	7	168	240	280	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	400000	400000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	8	168	280	320	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	400000	400000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	9	168	320	360	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	5000	5000	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	10	168	360	400	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Kim	1000	1000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	1	169	2	40	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	2	169	40	80	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	3	169	80	120	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	4	169	120	160	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	5	169	160	200	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	6	169	200	240	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	20000	20000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	7	169	240	280	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	400000	400000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	8	169	280	320	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	400000	400000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	9	169	320	360	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	5000	5000	0	0	0	0	0	0	0	0	0	0
Thñy Ma 	0	2	10	169	360	400	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thñy	1000	1000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	1	170	2	40	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	2	170	40	80	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	3	170	80	120	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	4	170	120	160	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	5	170	160	200	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	6	170	200	240	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	20000	20000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	7	170	240	280	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	400000	400000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	8	170	280	320	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	400000	400000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	9	170	320	360	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	5000	5000	0	0	0	0	0	0	0	0	0	0
Háa Ma 	0	3	10	170	360	400	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	1000	1000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	1	171	2	40	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	2	171	40	80	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	3	171	80	120	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	4	171	120	160	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	5	171	160	200	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	6	171	200	240	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	20000	20000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	7	171	240	280	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	400000	400000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	8	171	280	320	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	400000	400000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	9	171	320	360	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	5000	5000	0	0	0	0	0	0	0	0	0	0
Thæ Ma 	0	4	10	171	360	400	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Thæ 	1000	1000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	1	172	2	10	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	2	172	10	20	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	3	172	20	30	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	4	172	30	40	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	5	172	40	50	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	6	172	50	60	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	20000	20000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	7	172	60	70	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	400000	400000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	8	172	70	80	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	400000	400000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	9	172	80	90	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	5000	5000	0	0	0	0	0	0	0	0	0	0
Méc Ma 	0	1	10	172	90	100	-1	-1	0	0	T¨ng s¸t th­¬ng hÖ Méc	1000	1000	0	0	0	0	0	0	0	0	0	0
